Region,Month,Year,ECATs,ACATs,V&T,ATV ,Snowmobile,Nav. Law,Penal/Other,TOTs,CFS,Warrants,Outreach,Warnings
6,9,2012,101,2,4,3,0,0,1,5,140,1,40,9
7,9,2012,358,9,3,5,0,6,0,1,162,1,38,13
8,9,2012,82,4,2,0,0,0,0,5,113,5,55,12
9,9,2012,94,59,13,1,0,3,2,0,181,0,43,9
1,9,2013,124,2,5,1,0,5,1,0,142,0,5,9
2,9,2013,67,12,3,0,0,0,1,0,91,0,5,10
3,9,2013,72,0,5,4,0,0,0,4,105,1,32,8
4,9,2013,61,5,2,1,0,3,2,1,188,3,31,13
5,9,2013,69,3,2,0,0,5,3,0,172,0,46,7
6,9,2013,53,0,7,9,0,1,0,5,84,0,43,3
7,9,2013,250,3,3,3,0,8,1,0,158,0,32,7
8,9,2013,131,13,21,0,0,2,16,21,150,3,73,18
9,9,2013,90,8,14,0,0,2,1,1,136,0,27,11
1,9,2014,379,2,17,3,0,7,5,2,248,0,6,40
2,9,2014,221,20,1,0,0,0,39,0,102,0,12,12
3,9,2014,148,0,8,0,0,4,1,0,185,0,20,6
4,9,2014,93,3,2,9,0,2,1,2,192,0,22,12
6,9,2014,99,4,20,3,0,5,2,13,133,1,53,8
7,9,2014,198,6,6,6,0,6,1,1,206,3,43,12
8,9,2014,159,6,53,0,0,0,31,5,179,8,56,28
9,9,2014,132,27,9,2,0,9,0,0,183,0,51,9
1,9,2015,550,12,18,10,0,12,28,0,472,0,8,46
2,9,2015,149,11,0,0,0,0,0,3,92,1,4,9
3,9,2015,127,1,6,0,0,4,0,0,208,0,20,4
4,9,2015,50,9,0,4,0,6,1,0,172,1,30,20
5,9,2015,82,11,9,3,1,5,10,0,267,0,28,6
6,9,2015,162,0,30,4,0,4,6,24,278,2,92,16
7,9,2015,181,15,20,5,0,7,4,0,242,1,53,10
8,9,2015,73,4,2,2,0,1,11,0,151,2,64,22
9,9,2015,81,17,13,2,0,3,0,0,189,1,54,12
1,9,2016,322,2,11,10,0,3,3,0,260,0,7,15
2,9,2016,123,0,1,0,0,0,0,0,81,1,6,11
3,9,2016,148,0,5,4,0,0,0,0,162,0,18,9
4,9,2016,103,0,6,0,0,2,3,3,182,14,49,14
5,9,2016,143,24,22,12,0,15,3,1,292,3,33,12
6,9,2016,65,16,1,1,0,1,2,3,103,16,42,9
7,9,2016,166,8,10,4,0,4,1,0,239,3,41,16
8,9,2016,74,7,20,1,0,5,4,1,174,5,60,31
9,9,2016,121,3,16,6,0,0,0,12,176,1,29,15
1,10,2011,181,6,20,7,0,0,6,0,212,0,10,28
2,10,2011,258,28,18,0,0,3,37,0,109,0,3,65
3,10,2011,164,0,16,5,0,0,8,2,282,0,41,28
4,10,2011,80,8,6,0,0,0,0,4,218,0,22,13
5,10,2011,121,21,2,11,0,4,6,5,271,3,17,7
6,10,2011,193,1,8,1,0,1,11,1,192,1,21,15
7,10,2011,466,8,2,5,0,0,0,0,156,2,26,8
8,10,2011,315,10,39,2,0,3,7,2,210,3,32,25
9,10,2011,198,7,21,3,0,6,0,0,209,0,28,13
1,10,2012,167,0,6,4,0,0,7,0,165,0,7,7
2,10,2012,153,8,10,0,0,2,5,0,117,1,1,40
3,10,2012,104,0,7,0,0,8,3,11,175,1,8,11
4,10,2012,100,19,10,3,0,0,2,7,276,0,24,19
5,10,2012,140,1,3,0,0,0,7,0,272,4,23,3
6,10,2012,218,2,8,0,0,1,6,0,165,0,17,12
7,10,2012,309,22,12,2,0,3,0,0,183,1,29,1
8,10,2012,194,9,36,3,0,0,11,2,183,4,32,23
9,10,2012,165,6,15,0,0,0,3,0,209,2,26,19
1,10,2013,129,4,10,4,0,0,7,0,177,0,5,5
2,10,2013,109,17,8,0,0,1,3,0,103,0,1,13
3,10,2013,114,0,4,0,0,0,0,5,154,0,6,5
4,10,2013,55,4,4,3,0,0,2,5,230,1,15,10
5,10,2013,97,6,9,1,0,1,11,0,252,1,11,5
6,10,2013,132,0,4,1,0,0,2,5,127,0,18,15
7,10,2013,284,3,6,0,0,0,1,1,216,2,17,5
8,10,2013,176,1,8,0,0,1,2,2,216,3,53,27
9,10,2013,149,27,13,0,0,1,1,6,184,0,30,17
1,10,2014,233,1,18,14,0,1,18,2,238,1,2,19
2,10,2014,163,11,7,0,0,2,2,3,99,5,3,18
3,10,2014,169,1,9,2,0,0,3,1,167,3,13,5
4,10,2014,111,8,7,11,0,1,0,2,218,2,16,19
5,10,2014,91,25,5,5,0,5,3,1,242,0,18,3
6,10,2014,214,2,1,1,0,3,4,7,209,2,11,16
7,10,2014,206,5,8,9,0,3,0,0,213,0,13,12
8,10,2014,287,4,18,2,0,3,30,0,306,7,36,92
9,10,2014,140,5,29,10,0,1,11,0,230,2,27,10
1,10,2015,400,8,12,4,0,4,2,0,620,8,8,34
2,10,2015,173,6,2,2,0,2,5,2,103,2,3,10
3,10,2015,130,2,4,1,0,1,1,2,156,0,13,7
4,10,2015,96,4,2,14,0,0,0,6,193,0,16,7
5,10,2015,132,7,3,7,0,0,1,1,323,2,17,12
6,10,2015,328,0,16,2,0,2,0,10,264,0,40,16
7,10,2015,286,15,11,2,0,2,2,2,292,0,33,15
8,10,2015,247,17,29,2,0,0,12,7,240,2,24,38
9,10,2015,116,9,14,0,0,1,6,0,215,0,18,9
1,10,2016,4,0,0,0,0,0,0,0,8,0,0,1
2,10,2016,5,0,0,0,0,0,0,0,0,0,0,0
3,10,2016,4,0,0,0,0,0,0,0,2,0,1,1
4,10,2016,,,,,,,,,,,,
5,10,2016,4,0,0,0,0,0,0,0,3,0,0,0
6,10,2016,0,0,0,0,0,0,0,0,0,0,0,0
7,10,2016,6,0,0,0,0,0,0,0,0,0,0,0
8,10,2016,6,0,1,0,0,0,0,0,1,0,0,0
9,10,2016,0,0,0,0,0,0,0,0,0,0,0,0
1,11,2011,180,4,19,0,0,0,2,19,136,0,5,4
2,11,2011,200,22,9,2,0,1,15,2,65,0,0,25
3,11,2011,374,0,18,1,0,0,1,4,330,0,3,15
4,11,2011,325,3,8,4,0,0,2,7,434,0,13,25
5,11,2011,162,18,8,6,0,0,6,6,325,2,8,5
6,11,2011,207,0,9,11,0,0,1,10,192,0,14,24
7,11,2011,365,1,18,11,0,0,3,0,215,2,12,9
8,11,2011,305,7,35,4,0,10,8,1,445,3,14,36
9,11,2011,323,6,14,8,0,0,4,0,406,0,6,10
1,11,2012,37,0,15,0,0,0,3,0,106,0,2,6
2,11,2012,53,19,3,0,0,0,3,0,71,0,0,6
3,11,2012,327,0,16,1,0,0,5,18,242,1,2,7
4,11,2012,539,5,12,3,0,0,6,14,420,0,8,19
5,11,2012,118,12,2,1,0,0,1,0,282,2,8,3
6,11,2012,188,0,5,1,0,0,1,0,172,0,5,6
7,11,2012,427,2,4,5,0,0,2,0,256,1,8,9
8,11,2012,276,7,22,6,0,1,2,1,410,3,10,43
9,11,2012,198,8,8,5,0,0,6,0,387,0,2,9
1,11,2013,156,6,46,6,0,0,14,2,378,0,26,28
2,11,2013,113,14,5,0,0,0,1,0,135,9,1,23
3,11,2013,332,3,7,1,0,1,1,7,244,0,2,12
4,11,2013,269,4,1,5,0,0,0,0,362,0,5,31
5,11,2013,124,0,2,1,0,1,5,1,264,1,5,3
6,11,2013,139,1,6,1,0,5,4,3,146,1,5,4
7,11,2013,296,7,6,5,2,0,4,0,257,5,6,6
8,11,2013,321,10,17,3,0,0,3,1,431,1,13,33
9,11,2013,214,26,4,8,0,0,4,0,331,0,7,8
1,11,2014,179,7,11,15,0,2,13,0,264,0,10,28
2,11,2014,111,26,0,1,0,0,3,2,87,0,1,16
3,11,2014,372,0,7,10,0,1,5,4,256,2,1,6
4,11,2014,351,0,3,17,0,0,1,0,317,4,7,21
5,11,2014,165,2,4,4,0,0,2,7,278,4,6,4
6,11,2014,201,0,5,0,0,2,4,7,181,0,3,9
7,11,2014,329,2,1,5,0,0,1,1,264,0,10,20
8,11,2014,338,1,26,4,0,0,35,5,465,2,7,51
9,11,2014,235,1,9,2,0,0,5,7,400,1,5,7
1,11,2015,254,18,32,0,0,10,6,2,704,0,16,34
2,11,2015,140,7,3,0,0,0,1,2,101,6,2,6
3,11,2015,188,0,10,1,0,0,0,1,250,0,3,9
4,11,2015,255,1,3,1,0,0,0,2,386,2,12,47
5,11,2015,140,8,8,5,0,1,5,0,345,1,3,3
6,11,2015,292,6,16,12,0,0,6,12,398,2,6,18
7,11,2015,309,7,19,5,0,4,1,0,381,1,14,23
8,11,2015,290,26,17,3,0,0,12,2,418,4,12,61
9,11,2015,214,11,7,4,0,0,2,0,369,0,9,17
1,11,2016,0,0,0,0,0,0,0,0,0,0,0,0
2,11,2016,5,0,0,0,0,0,0,0,0,0,0,0
3,11,2016,0,0,0,0,0,0,0,0,0,0,0,0
4,11,2016,,,,,,,,,,,,
5,11,2016,0,0,0,0,0,0,0,0,0,0,0,0
6,11,2016,0,0,0,0,0,0,0,0,0,0,0,0
7,11,2016,0,0,0,0,0,0,0,0,0,0,0,0
8,11,2016,0,0,0,0,0,0,0,0,0,0,0,0
9,11,2016,0,0,0,0,0,0,0,0,0,0,0,0
1,12,2011,102,10,7,1,0,0,2,0,143,0,5,9
2,12,2011,213,13,10,0,0,2,16,0,64,0,0,6
3,12,2011,104,0,7,1,0,0,0,4,196,1,2,10
4,12,2011,181,4,6,7,0,0,7,13,230,4,10,17
5,12,2011,80,7,3,6,1,0,3,0,211,8,20,10
6,12,2011,114,0,8,0,0,0,1,1,125,0,8,13
7,12,2011,152,9,9,8,0,0,0,0,135,0,9,7
8,12,2011,145,10,25,6,0,2,10,0,185,1,3,18
9,12,2011,160,9,9,2,0,5,4,0,254,0,6,14
1,12,2012,85,2,5,0,0,7,1,8,162,0,2,4
2,12,2012,101,14,2,2,0,0,2,0,86,0,0,9
3,12,2012,93,0,7,0,2,0,0,12,159,2,2,7
4,12,2012,163,3,6,0,2,0,5,11,280,2,10,11
5,12,2012,63,13,4,0,5,0,11,2,279,2,36,9
6,12,2012,70,0,7,0,2,0,1,2,135,2,33,9
7,12,2012,345,12,7,1,5,0,1,0,126,0,4,5
8,12,2012,154,7,4,0,0,1,3,4,196,0,11,32
9,12,2012,168,4,5,0,19,1,4,0,208,2,4,5
1,12,2013,128,1,3,0,0,1,6,1,198,1,2,9
2,12,2013,121,15,8,0,0,0,0,5,127,7,0,12
3,12,2013,84,1,5,0,1,0,3,2,141,0,1,11
4,12,2013,135,5,4,0,0,0,0,0,206,1,6,20
5,12,2013,78,5,0,2,4,2,4,0,211,0,47,6
6,12,2013,95,0,1,0,3,0,1,1,127,1,4,10
7,12,2013,266,2,12,2,3,0,0,0,127,1,4,6
8,12,2013,178,6,6,4,1,1,1,1,207,1,3,23
9,12,2013,159,4,9,0,3,0,1,2,174,0,3,11
1,12,2014,179,8,15,14,0,1,19,2,248,0,2,17
2,12,2014,100,8,7,0,0,0,1,2,85,1,0,14
3,12,2014,102,0,12,0,0,0,5,0,195,1,3,4
4,12,2014,107,8,1,1,2,0,0,1,199,4,3,6
5,12,2014,90,7,4,0,4,0,0,0,194,0,48,6
6,12,2014,151,2,3,3,3,1,2,3,159,2,8,4
7,12,2014,201,3,5,3,1,3,2,2,187,1,4,10
8,12,2014,146,19,20,1,0,1,11,5,225,5,10,29
9,12,2014,145,5,12,0,2,2,2,0,206,1,2,8
1,12,2015,224,0,22,26,0,4,6,2,546,0,2,26
2,12,2015,99,11,5,0,0,3,0,2,77,5,4,5
3,12,2015,143,0,5,3,0,0,2,1,199,0,0,4
4,12,2015,176,21,3,13,0,0,2,3,220,7,7,20
5,12,2015,112,4,7,2,0,4,3,0,266,2,45,7
6,12,2015,210,6,2,6,0,4,0,2,334,0,32,10
7,12,2015,202,17,25,2,0,0,3,0,298,0,2,19
8,12,2015,214,1,7,0,0,0,1,1,271,1,3,26
9,12,2015,168,1,6,2,0,1,7,0,208,0,4,13
1,12,2016,0,0,0,0,0,0,0,0,0,0,0,0
2,12,2016,5,0,0,0,0,0,0,0,0,0,0,0
3,12,2016,0,0,0,0,0,0,0,0,0,0,0,0
4,12,2016,,,,,,,,,,,,
5,12,2016,0,0,0,0,0,0,0,0,0,0,0,0
6,12,2016,0,0,0,0,0,0,0,0,0,0,0,0
7,12,2016,0,0,0,0,0,0,0,0,0,0,0,0
8,12,2016,0,0,0,0,0,0,0,0,0,0,0,0
9,12,2016,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2017,270,7,22,8,0,0,6,9,356,0,3,48
1,2,2017,162,9,18,2,1,0,12,2,305,4,10,16
1,3,2017,142,6,9,1,0,1,3,1,317,0,9,24
1,4,2017,224,6,7,6,0,4,7,1,303,0,29,27
1,5,2017,293,4,14,1,0,3,15,4,290,0,5,23
1,6,2017,313,14,8,0,0,5,6,3,381,2,16,39
1,7,2017,369,20,10,4,0,4,2,3,315,6,6,26
1,8,2017,375,1,6,0,0,12,6,0,318,3,16,30
1,9,2017,433,8,23,12,0,8,9,13,383,0,21,45
1,10,2017,278,6,14,2,0,1,6,6,425,1,17,25
1,11,2017,115,1,4,3,0,4,10,0,384,0,2,42
1,12,2017,115,6,20,5,0,0,15,1,399,1,4,26
2,1,2017,268,6,26,0,0,0,2,0,177,0,19,25
2,2,2017,270,6,12,0,0,0,1,3,138,4,12,20
2,3,2017,263,31,9,2,0,0,1,2,245,0,19,37
2,4,2017,260,10,4,0,0,0,0,1,212,5,16,22
2,5,2017,246,11,16,0,0,1,1,3,202,5,28,26
2,6,2017,262,2,21,2,0,4,3,0,238,6,17,43
2,7,2017,335,4,15,1,0,6,2,0,219,19,19,46
2,8,2017,279,9,4,0,0,1,0,1,165,0,0,40
2,9,2017,195,2,9,5,0,3,60,2,233,3,20,27
2,10,2017,183,0,5,0,0,2,47,0,179,0,12,19
2,11,2017,212,1,5,0,0,1,76,0,150,0,2,18
2,12,2017,267,5,9,1,0,0,71,2,158,3,0,42
3,1,2017,181,0,17,0,0,0,0,1,207,0,0,7
3,2,2017,185,2,11,0,0,0,2,1,191,1,9,6
3,3,2017,150,0,16,0,0,0,0,1,168,0,16,8
3,4,2017,268,0,0,3,0,0,0,4,258,0,21,10
3,5,2017,210,0,18,0,0,2,0,1,215,1,16,9
3,6,2017,194,0,11,0,0,2,0,2,255,5,8,14
3,7,2017,177,0,13,0,0,3,2,6,208,7,11,7
3,8,2017,206,0,8,1,0,0,6,10,235,2,6,18
3,9,2017,155,0,8,6,0,1,0,0,196,3,19,8
3,10,2017,141,0,2,2,0,0,1,1,182,0,9,11
3,11,2017,281,0,13,5,0,0,2,0,230,1,4,4
3,12,2017,147,2,1,0,0,0,0,2,170,1,5,7
4,1,2017,37,29,6,3,0,0,0,0,171,0,15,1
4,2,2017,21,108,3,0,2,0,0,0,145,0,19,23
4,3,2017,31,135,1,0,2,0,0,1,223,2,20,3
4,4,2017,108,92,1,2,0,5,0,0,237,1,44,44
4,5,2017,148,133,9,3,0,7,0,1,233,0,37,9
4,6,2017,84,59,4,1,0,8,6,4,152,0,15,21
4,7,2017,109,17,7,1,0,10,2,5,184,0,12,12
4,8,2017,82,4,4,0,0,9,1,0,183,1,19,10
4,9,2017,77,5,14,11,0,2,0,0,219,2,50,15
4,10,2017,110,5,5,8,0,0,12,1,279,1,26,17
4,11,2017,305,21,6,9,0,0,2,3,407,0,16,39
4,12,2017,170,26,5,1,0,0,0,8,194,1,8,15
5,1,2017,82,7,12,12,21,0,0,0,140,0,26,5
5,2,2017,64,3,8,9,55,0,0,1,151,5,35,7
5,3,2017,59,12,10,3,4,1,1,0,185,6,18,8
5,4,2017,176,14,13,6,8,5,4,0,288,0,33,30
5,2,2017,167,5,16,1,0,22,16,4,267,2,23,8
5,6,2017,107,18,31,4,0,14,29,1,249,0,13,8
5,7,2017,211,7,86,7,1,40,47,2,259,3,26,10
5,8,2017,130,25,25,5,0,6,33,3,301,2,30,5
5,9,2017,137,11,14,10,0,6,55,1,304,6,37,9
5,10,2017,178,15,7,8,0,1,16,0,291,2,5,4
5,11,2017,167,5,4,2,0,1,4,0,346,1,11,2
5,12,2017,80,1,5,1,3,0,0,0,238,0,47,6
6,1,2017,19,0,6,0,3,0,0,0,14,0,2,1
6,2,2017,9,0,10,1,2,0,2,0,20,0,1,2
6,3,2017,13,1,6,0,11,0,1,0,19,1,4,1
6,4,2017,17,0,0,1,0,0,1,0,0,0,0,0
6,5,2017,17,0,0,1,0,0,1,0,0,0,0,0
6,6,2017,9,0,1,0,0,0,0,0,12,1,3,2
6,7,2017,7,0,1,0,0,10,0,0,14,0,2,0
6,8,2017,8,1,3,0,0,3,1,0,22,0,2,2
6,9,2017,7,0,5,0,0,0,0,0,4,0,0,0
6,10,2017,7,0,5,0,0,0,0,0,4,0,0,0
6,11,2017,9,0,0,0,0,0,0,0,8,0,0,0
6,12,2017,9,0,0,0,0,0,0,0,8,0,0,0
7,1,2017,123,3,8,0,14,4,1,0,120,0,15,15
7,2,2017,122,8,12,2,35,1,2,0,122,5,9,19
7,3,2017,77,16,8,7,4,0,0,0,150,4,30,20
7,6,2017,157,3,10,7,0,3,7,0,267,3,52,37
7,5,2017,165,4,10,2,0,5,0,0,250,4,11,15
7,6,2017,115,3,7,12,0,13,0,0,196,52,16,21
7,7,2017,109,5,11,2,0,24,0,0,205,0,27,20
7,9,2017,110,18,18,5,0,10,6,0,227,0,49,12
7,9,2017,288,11,15,8,0,18,15,2,248,0,57,21
7,10,2017,298,6,14,7,0,10,0,8,312,1,27,25
7,11,2017,301,5,13,5,0,3,1,1,356,2,6,18
7,12,2017,188,2,10,0,40,0,2,0,161,0,4,8
8,1,2017,87,20,16,5,0,0,4,15,210,1,29,20
8,2,2017,91,0,18,14,0,0,0,1,169,8,20,9
8,3,2017,101,0,8,0,3,4,2,0,196,0,42,22
8,4,2017,123,21,17,9,0,2,12,0,266,3,55,41
8,5,2017,127,8,29,2,0,0,28,0,264,3,24,43
8,6,2017,125,2,11,12,0,4,19,2,216,2,22,28
8,7,2017,103,1,22,0,0,24,11,3,211,3,17,41
8,8,2017,104,11,19,0,0,5,7,1,211,3,36,19
8,9,2017,100,1,14,7,0,2,14,0,239,5,55,19
8,10,2017,368,0,8,2,0,0,1,2,313,10,43,33
8,11,2017,286,1,10,0,0,0,2,1,448,4,8,32
8,12,2017,122,1,2,0,0,0,4,2,235,1,6,21
9,2,2017,56,0,11,13,5,0,1,1,138,18,10,11
9,3,2017,54,7,11,2,3,3,0,0,170,13,28,17
9,4,2017,115,15,18,7,0,9,0,0,255,2,28,28
9,5,2017,105,10,8,1,0,2,1,0,231,0,8,13
9,6,2017,93,8,17,2,0,11,1,1,199,0,12,14
9,7,2017,109,1,18,3,0,22,1,1,208,0,21,22
9,8,2017,98,2,7,5,0,2,2,0,192,0,50,15
9,9,2017,97,4,47,6,0,12,3,0,215,0,45,28
9,10,2017,139,4,20,5,0,4,0,0,215,0,29,10
9,11,2017,181,6,13,1,0,3,5,0,342,0,4,22
9,12,2017,6,0,0,0,0,0,0,0,5,0,1,1
